0	gi-3:1136968..1136766_LTR
0	gi-3:1141670..1141468_LTR
1	gi-3:1141467..1136969_INT
2	gi-5:708882..708649_LTR
2	gi-5:714389..714156_LTR
3	gi-5:714155..708883_INT
4	gi-5:1229686..1229975_LTR
4	gi-5:1238893..1239180_LTR
5	gi-5:1229976..1238892_INT
6	gi-7:877482..876990_LTR
6	gi-7:883528..883036_LTR
7	gi-7:883035..877483_INT
8	gi-1:973903..978612_INT
9	gi-1:978613..978892_LTR
10	gi-2:1187623..1188128_LTR
10	gi-5:589394..589084_LTR
11	gi-3:900336..905761_INT
12	gi-5:330314..329622_LTR
13	gi-5:330315..343249_INT
14	gi-5:589395..595354_INT
15	gi-5:1063551..1068300_INT
16	gi-5:1068511..1068301_LTR
17	gi-7:2088298..2092890_INT
18	gi-7:2093161..2092891_LTR
