"","Control_1","Control_2","Control_3","Heat_treated_42_12h_1","Heat_treated_42_12h_2","Heat_treated_42_12h_3"
"g9",978.055357644386,945.278309461208,943.381977620835,878.77569921689,790.461606835885,751.24457627548
"g10",172.358034871638,79.3111557206477,58.6876439188449,212.562498972881,459.113579814093,235.835911502006
"g11",257.007247264218,1059.63392933749,1009.95303639445,370.834143229745,466.133665132351,547.996899817388
"g12",317.179578964968,803.256007356792,717.390751784089,497.819532226531,551.778706015103,466.526312207604
"g13",26.5166207494828,52.5666962334525,57.8117089349815,73.6147182590065,88.4530750100547,72.0371511497036
"g14",55.0729815566182,99.6000560212785,91.097238321789,125.145021040311,130.573586919604,131.210525308389
"g15",83.6293423637535,168.766761591611,91.097238321789,56.1312226724924,44.9285460368532,81.4705876097838
"g16",2.03974005765253,0,0,17.483495586514,0,5.1455107964074
"g17",5.09935014413131,0,1.75186996772671,1.84036795647516,2.80803412730332,0
"g18",2415.05222826059,2632.02370263638,2517.43714362329,2267.3333223774,2486.51421972709,2258.87923962285
"g19",367.153210377455,345.833527851661,338.986838755119,314.702920557253,346.79221472196,229.832815572864
"g20",412.02749164581,733.167079045522,659.579042849107,54.2908547160173,138.997689301514,135.498450972061
"g21",1978.54785592295,3149.39066030246,3343.44383340643,1354.51081596572,2312.41610383429,1411.5851284811
"g22",628.239937756978,890.86716774588,1043.23856578126,196.919371342842,146.017774619773,271.854487076858
"g23",96.8876527384949,128.188960990349,125.25870269246,49.6899348248294,68.7968361189314,81.4705876097838
"g24",116.265183286194,93.1444968347141,166.427646934038,202.440475212268,91.261109137358,251.272443891228
"g25",268.225817581307,120.811179062847,123.506832724733,103.060605562609,42.1205119095498,90.904024069864
"g26",61.1922017295758,42.4222460831371,37.6652043061243,27.6055193471274,9.82811944556163,34.3034053093827
"g27",293.722568301964,268.366817612889,290.810414642634,128.825756953261,276.591361539377,148.36222796308
"g29",155.020244381592,120.811179062847,93.7250432733791,69.9339823460562,50.5446142914598,70.3219808842344
"g30",298.821918446095,276.666822281329,277.671389884684,150.910172430963,60.3727337370214,294.151700527956
"g31",146.861284150982,59.9444781609546,86.7175634024723,65.3330624548682,74.412904373538,136.356036104796
"g32",352.875029973887,117.122288099096,140.149597418137,104.900973519084,136.189655174211,241.839007431148
"g33",2993.31853460508,3216.71292039092,3159.49748679513,2696.13905623611,2506.17045861822,2485.28171466477
