"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1104",1066.14112535367,3.49991266832366,0.372393836544603,9.39841727993923,5.53899626920949e-21,3.66681553021668e-18
"g1157",470.363718543874,-3.78364071531122,0.399565647667102,-9.46938441130345,2.81497701198484e-21,3.66681553021668e-18
"g1700",100.152125088911,5.97711103908133,0.64121012737693,9.32161047351601,1.14587600949923e-20,3.79284959144245e-18
"g1701",271.128611303892,5.07239319367681,0.542889829217919,9.34331962155939,9.33601064003459e-21,3.79284959144245e-18
"g1648",522.526278557439,-2.39898584807335,0.280530274070454,-8.55161125130777,1.21382001390403e-17,3.21419539681787e-15
"g1105",601.010268542827,3.48519919142564,0.415527655709468,8.38740609328406,4.96985883404655e-17,1.09668218271294e-14
"g1637",326.954408109563,5.11794644144114,0.625032683906341,8.18828610602393,2.64972329452407e-16,5.01176234564268e-14
"g38",1517.71020802579,2.47367189886832,0.30501907485762,8.10989247155446,5.06645768208193e-16,8.38498746384559e-14
"g306",18743.7306762159,4.46412566997266,0.554739086366169,8.04725280710796,8.46731611272019e-16,1.24563628147128e-13
"g925",1143.7214960199,-2.82821962446456,0.353985101560484,-7.98965722567652,1.35314454093725e-15,1.79156337220092e-13
"g733",332.956806374185,-3.00879876887857,0.394612305347018,-7.62469575355147,2.44610612714515e-14,2.94422228394561e-12
"g1488",3884.01882122522,3.58902246033784,0.472408612231387,7.5972841464201,3.0241004605941e-14,3.33659084152215e-12
"g326",54.928711742262,6.45506255049101,0.855322577010546,7.54693343072063,4.45626213040792e-14,4.53853158512314e-12
"g307",1234.03367029259,3.71657201569789,0.496576849033296,7.48438438669277,7.18832809610069e-14,6.7981045708838e-12
"g63",442.762052499496,-2.50846350613529,0.341080849863061,-7.35445425078074,1.9170874968623e-13,1.69214923056379e-11
"g393",1316.61769941494,2.31842806427454,0.324359072607311,7.147720720861,8.82305840147045e-13,7.3010808272168e-11
"g1006",531.349665011711,-2.17849661882057,0.306579350154639,-7.10581654544487,1.19613213603505e-12,9.31575851829653e-11
"g950",385.761192644381,2.10875409777628,0.3003912464556,7.0200251260916,2.21828350141588e-12,1.63167075326368e-10
"g863",209.830244924301,-3.06945333438083,0.447905086098422,-6.85291020273512,7.23625135710522e-12,5.04252462989858e-10
"g1230",166.423918493927,-6.3566064149091,0.937036983223214,-6.78373055569663,1.17111658090013e-11,7.75279176555883e-10
"g1187",149.821464034393,-3.96803367605938,0.592847949829493,-6.69317263760566,2.18383244726441e-11,1.37685436198956e-09
"g942",678.798807693818,1.96984759166449,0.296975644961767,6.63302740505231,3.28870720019969e-11,1.97920378775654e-09
"g210",49.827687133932,5.29762440872159,0.812548721018995,6.51976216524959,7.04189585588681e-11,4.05368265791050e-09
"g80",690.391452076976,-3.23529554201739,0.503437863861771,-6.42640487388073,1.30657120189022e-10,7.20791779709436e-09
"g926",301.953106729648,-3.00065907100511,0.469473394417158,-6.39154232526929,1.64220810634555e-10,8.69713413120604e-09
"g1350",5475.7059723556,3.20658911853502,0.503108968642473,6.37354791584672,1.8470453314412e-10,9.40572314933902e-09
"g584",384.6591654869,2.72874937701916,0.429551711099072,6.35255152409299,2.11772458082283e-10,1.03846938704053e-08
"g352",6832.06726052218,3.6161745995927,0.580848615918064,6.22567481524791,4.79487671112904e-10,2.2167981018731e-08
