# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-a" "/home/mila6004/Genomeanalysis/results/5_annotation/braker3/braker.gtf" "-s" "2" "-o" "featurecounts2.txt" "/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Control_1Aligned.sortedByCoord.out.bam" "/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Heat_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Control_1Aligned.sortedByCoord.out.bam	/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Heat_1Aligned.sortedByCoord.out.bam
g1	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	7300;7556;8527;8975;9294;9696;10189;10548;11342;11743;11932;12149;12401;12830;13361;13630;14225;14539;14979	7398;7699;8791;9181;9557;9979;10283;10632;11454;11802;11941;12223;12540;12913;13441;13964;14304;14777;15135	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2817	0	1
g2	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	15145;15398;16030;16303;16587	15233;15914;16125;16410;16781	+;+;+;+;+	1005	0	0
g3	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	16975;17279;17735;18085;18431;19070;19745;20072	17066;17692;17890;18262;18637;19189;19810;20197	+;+;+;+;+;+;+;+	1359	0	0
g4	contig_12_pilon;contig_12_pilon	43583;43736	43585;43936	+;+	204	0	0
g5	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	59961;60355;60649;60944;61094;63852;64717;68076	60164;60484;60831;61032;61241;64498;64803;68501	+;+;+;+;+;+;+;+	1914	0	0
g6	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	71822;74105;74284;74870;75210	72260;74241;74753;75103;75462	-;-;-;-;-	1533	0	0
g7	contig_12_pilon	76386	76646	+	261	0	0
g8	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	76751;77544;79639;80051;80492;80771;81293;81622;82642;82969;83279;83552	76888;77674;79930;80403;80681;81151;81456;82198;82812;83170;83458;83625	+;+;+;+;+;+;+;+;+;+;+;+	2853	0	0
g9	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	97206;97673;98073;98351;98692;98910;99280;99905;100671;101017;101235;101793;101991;102237;102868;103086;103286;103612;103991;104234;104464;104816;105203;105691;106271	97442;97750;98135;98460;98792;98971;99420;100037;100713;101080;101355;101851;102059;102377;102932;103182;103345;103764;104081;104341;104583;105019;105475;105846;106302	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2781	489	470
g10	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	107415;107804;108297;108566;108943;109728	107729;107883;108450;108828;109351;109892	+;+;+;+;+;+	1386	70	120
